Ticker_Name,Ticker,Texts,Like_Count,Datetime,Texts_Cleaned,negative,neutral,positive,compound,Date
dbs,d05.SI,"When Devil's bit scabious is lost from an area, it has to be reintroduced by seed or plant plugs, as the seed doesn't persist. My ex silage field most likely had DBS many years ago, a couple of plants held on in the hedge bank. I can't believe how well it has reestablished.&gt;100! https://t.co/0dl22DTgQO",186,2023-03-04 08:16:12,devils bit scabious lost area reintroduced seed plant plugs seed doesnt persist ex silage field likely dbs many years ago couple plants held hedge bank cant believe well reestablishedgt,0.231,0.769,0.0,-0.7791,2023-03-04
dbs,d05.SI,"Debates are on about SEBI taking away float enjoyed by discount brokers (DBs). Interest on ""your"" capital earns 20-30% to them.

Now DBs cite they might ""have to increase"" broking fee from 20/ to 40-50/order. 

 @ICICI_Direct charges 20/order while money remains in your bank. https://t.co/wS5QYod77t",55,2023-04-10 13:44:35,debates sebi taking away float enjoyed discount brokers dbs interest capital earns dbs cite might increase broking fee order charges order money remains bank,0.068,0.651,0.28,0.7579,2023-04-10
dbs,d05.SI,"This table from DBS is super interesting (and assuring). Asian banks have deposit insurance coverage that protects 90% to nearly 100% of accounts. 

For Malaysia, PIDM covers 97%, so only a small number of depositors will be affected in the event of widespread bank failures. https://t.co/tvpKhVrXaY",32,2023-03-24 03:55:41,table dbs super interesting assuring asian banks deposit insurance coverage protects nearly accounts malaysia pidm covers small number depositors affected event widespread bank failures,0.134,0.494,0.372,0.802,2023-03-24
garena,SE,"Collect tokens from the Rune Limited Edition event through daily missions.🔥

Get your hands on the Prismatic Warrior Bundle for a limited time only.⏳ https://t.co/up2kZmlA5f",16,2023-04-18 01:00:01,collect tokens rune limited edition event daily missions get hands prismatic warrior bundle limited time,0.226,0.774,0.0,-0.4215,2023-04-18
garena,SE,Check out who is the MVP of MVP TITLES! CHIRAQ is coming out on top with 4 MVP Titles from the Group Stages of Garena Master S4 alone! Let's see if he can maintain the top spot throughout the Playoffs and to the end of the tournament. https://t.co/m8t85ZaPYe,22,2023-03-17 10:28:55,check mvp mvp titles chiraq coming top mvp titles group stages garena master alone lets see maintain top spot throughout playoffs end tournament,0.078,0.781,0.141,0.1531,2023-03-17
garena,SE,"Don't let this opportunity crack!

Participate in the Robo-Egg event, defeat 45 enemies, and get the Nazar Robo pet skin for free.🔥

Available from today until April 14th. ⏳ https://t.co/Ec5B1gD5Gh",19,2023-04-09 21:00:01,dont let opportunity crack participate roboegg event defeat enemies get nazar robo pet skin free available today april th,0.318,0.559,0.123,-0.6407,2023-04-09
garena,SE,"The Top 3 Teams in the Garena Majors are all from the Philippines. 

To be honest, I don't get where the hate from our fellow countrymen is coming. 

Just respect all the teams for the grind they put forward",28,2023-03-26 07:04:26,top teams garena majors philippines honest dont get hate fellow countrymen coming respect teams grind put forward,0.0,0.537,0.463,0.8806,2023-03-26
garena,SE,"Thank you so much for sticking with us in the battle at Garena Masters IV,  ka-barangay! 

Our long voyage in this series is indeed a roller coaster experience. We will soon rise from the ground and will hoist the crown in the next season.

#OneShotOmega #PowerOfSmart https://t.co/lzR1ypblHJ",41,2023-03-26 06:59:12,thank much sticking us battle garena masters iv kabarangay long voyage series indeed roller coaster experience soon rise ground hoist crown next season oneshotomega powerofsmart,0.093,0.819,0.089,-0.0258,2023-03-26
garena,SE,"Gotta Lucky from Credit Store on My Garena Version..🔥🔥
Also Got AGR Skin from Soldier Return Reward.
#CODM #CoDMobile #CallofDuty https://t.co/o9lW5d2t0F",17,2023-02-19 09:48:54,gotta lucky credit store garena version also got agr skin soldier return reward codm codmobile callofduty,0.0,0.588,0.412,0.8442,2023-02-19
garena,SE,"Dear @PlayCODMobile 

Please remove the weapon leaderboards considering most LB players abusing the method called ""Give N Take"" It's very unfair for the players who managed to grind the leaderboards from pure skill. 

This is very common in Garena rn and it needs to be stopped.",19,2023-04-12 12:39:43,dear please remove weapon leaderboards considering lb players abusing method called give n take unfair players managed grind leaderboards pure skill common garena rn needs stopped,0.299,0.557,0.144,-0.6486,2023-04-12
